Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Description,,
10004658,VANDALISM - BY GRAFFITI,11/22/2010 14:23,Inactive,,,Union-City,1400 R St (GOVT PARKING LOT (UNL)),$0.00,$50.00,"Unknown person(s) vandalized a truck by spray painting the work LOCH on the cargo box, $50 damage.",,
10004667,ALCOHOL - MINOR IN POSSESSION,11/23/2010 1:17,Cleared by Arrest,11/23/2010 1:17,,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A UNL student was cited and released for MIP. BAC 0.068.,,
10004671,ACCIDENTS - P.D. NOT REPORTABLE,11/23/2010 11:48,Cleared by Arrest,11/23/2010 10:00,,Ruth Staples Child Development Lab,1855 North 35th St (GOVT PARKING LOT (UNL)),$0.00,"$1,025.00","Person damaged a UNL parking sign by hitting it with a vehicle, damage to sign $125, damage to vehicle $900. This occured in the metered parking lost west of Ruth Staples building.",,
10004675,SS - CHECK WELFARE OF PERSON,11/23/2010 15:57,Cleared by Exception,11/5/2010 0:00,11/23/2010 15:57,The Courtyards,733 North  17th  St. (UNL APARTMENT),$0.00,$0.00,A check welfare was attempted on a UNL student.,,
10004677,ACCIDENTS - P.D. H&R REPORTABLE,11/23/2010 18:10,Inactive,11/23/2010 11:04,11/23/2010 12:27,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,$0.00,"Hit and Run accident in the 17th and R Street parking lot, $850 damage.",,
10004683,VANDALISM - OTHER,11/24/2010 4:45,Inactive,,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$300.00,A window at The Village was broken by unknown means.,,
10004686,VANDALISM - BY GRAFFITI,11/24/2010 10:15,Inactive,,,Architecture Hall West,400 Stadium Dr (UNL ACADEMIC BUILDING),$0.00,$5.00,"Unknown person(s) spray painted the letters LOCH on a wall by the west handicap door area of Architecture Hall, $5 damage.",,
10004689,TRESPASSING,11/24/2010 16:27,Cleared by Arrest,11/24/2010 16:27,11/24/2010 16:27,Union-City,"1400 R St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,A non-student was cited and released for Trespassing due to being banned and barred.,,
10004694,ALCOHOL - DWI,11/25/2010 1:46,Cleared by Arrest,11/25/2010 1:46,,,N 17TH ST & VINE ST (STREET),$0.00,$0.00,UNL student cited/Detox for DWI (.176 BAC).  Officer observed vehicle straddling lane lines and driving negligently.,,
10004707,ALCOHOL - MINOR IN POSSESSION,11/26/2010 13:30,Cleared by Arrest,11/26/2010 13:30,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00,$0.00,A UNL student was cited/released and transported to Detox for MIPC. BAC 0.186,,
10004708,ALCOHOL - MINOR IN POSSESSION,11/26/2010 14:16,Cleared by Arrest,11/26/2010 14:16,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00,$0.00,A UNL student was cited/released  and transported to Detox for MIPC. BAC 0.272,,
10004710,ALCOHOL - MINOR IN POSSESSION,11/26/2010 14:27,Cleared by Arrest,11/26/2010 14:27,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00,$0.00,A UNL student was cited/released and transported to Detox. BAC 0.228,,
10004712,ALCOHOL - MINOR IN POSSESSION,11/26/2010 14:39,Cleared by Arrest,11/26/2010 14:39,,Memorial Stadium,740 Stadium Dr. (SIDEWALK),$0.00,$0.00,"UNL student cited for MIP-C outside the Stadium Parking garage, student taken to detox with a .136 BAC and turned over to staff.",,
10004715,ASSAULT - DOMESTIC,11/26/2010 15:40,Cleared by Arrest,11/26/2010 15:40,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00,$0.00,Witness reports observing a male assault a female at the Nebraska Football Game.  Non student cited/lodged for Domestic Assault (3rd Degree)/Poss. of Marijuana < 1 oz.(.8 grams)/Poss of Paraphernalia.,,
10004718,ASSAULT - NON DOMESTIC,11/26/2010 16:30,Cleared by Arrest,11/26/2010 16:30,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00,$0.00,Non-student cited/released for 3rd Degree Assault and ejected from the stadium after hitting another fan in the face.,,
10004720,LARCENY - FROM MOTOR VEHICLE,11/26/2010 18:17,Inactive,11/26/2010 14:00,11/26/2010 18:15,515 N 19th Parking Lot Vine to,515 North 19th St. (GOVT PARKING LOT (UNL)),$414.00,$0.00,Knives and cash stolen from an unlocked car.,,
10004722,LARCENY - FROM MOTOR VEHICLE,11/26/2010 18:28,Inactive,11/26/2010 11:30,11/26/2010 18:25,The Village,1055 North 16 St. (GOVT PARKING LOT (UNL)),$2.00,$150.00,A non-students vehicle was broke into  and a two dollar check was taken. Pry marks observed.,,
10004725,ALCOHOL - DRUNK,11/26/2010 20:52,Cleared by Exception,11/26/2010 22:50,11/26/2010 22:52,Behlen Physics Lab,500 Stadium Dr (SIDEWALK),$0.00,$0.00,A non-student was placed into civil protective custody and transported to Cornhusker Place Detox. BAC 0.265,,
10004729,VANDALISM - OTHER,11/27/2010 15:24,Inactive,11/27/2010 0:01,11/27/2010 12:00,Pound Hall,513 North 17th St (GOVT PARKING LOT (UNL)),$0.00,$150.00,Two motorcycles were vandalized by being tipped over behind Pound Hall.,,
10004731,TRESPASSING,11/27/2010 22:37,Cleared by Arrest,11/27/2010 22:37,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00,$0.00,CSO observed two juvenile males in the computer lab.  One of the males was found to be banned and barred.  He was referred to County Attorney/released to his father.  The other male was wanted by LPD (Runaway).  He was turned over to LPD.,,
10004733,FIRE (WORKING) - NO ALARM,11/28/2010 14:03,Cleared by Exception,11/28/2010 14:03,,Harper Hall,1150 North 14th St (GOVT LOT/FIELD (UNL)),$0.00,$30.00,"Wood chips on fire by Harper Hall caused by blown over cigarette disposal unit. LFR arrived and put out the small fire, $30 damage to chips.",,
10004735,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",11/28/2010 17:27,Cleared by Exception,11/28/2010 17:15,11/28/2010 17:27,19th/Vine Parking Garage,1810 Vine St. (GOVT PARKING LOT (UNL)),$0.00,"$4,000.00",Vehicle rolled down ramp in the 19th and Vine parking garage and hit two other vehicles causing $4000 damage to the three vehicles.,,
10004739,NARCOTICS - POSSESSION,11/28/2010 22:18,Cleared by Arrest,11/28/2010 22:18,,,N 22ND ST & VINE ST (STREET),$0.00,$0.00,A non-student was contacted for a traffic violation. He was cited/released for possession of marijuana less than an ounce.,,
10004740,ALCOHOL - MINOR IN POSSESSION,11/29/2010 2:15,Cleared by Arrest,11/29/2010 2:15,,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,UNL student cited/released for MIP-Consumption (.168 BAC) after he was contacted in a dorm hallway.,,
10004742,LARCENY - STOLEN BIKE,11/29/2010 10:22,Inactive,11/22/2010 8:30,11/28/2010 17:00,Campus Recreation Center,841 North 14th St (SPORT FACILITIES),$300.00,$0.00,Secured bike taken from bike racks near Campus Rec. $300 loss. Cable and lock were left near the bike racks. No suspects,,
10004744,LARCENY - STOLEN BIKE,11/29/2010 10:23,Inactive,11/23/2010 14:00,11/29/2010 8:00,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Secured bike with lock taken from the bike racks near Sandoz Hall. No suspects. $275 Loss,,
10004747,LARCENY - STOLEN BIKE,11/29/2010 12:37,Inactive,11/23/2010 16:30,11/29/2010 12:10,Schramm Hall,1130 North 14th St (UNL RESIDENCE HALL),$420.00,$0.00,"Bike taken from rack by Schramm Hall, $420 loss.",,
10004750,LARCENY - STOLEN BIKE,11/29/2010 13:14,Inactive,11/23/2010 17:00,11/28/2010 19:30,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$360.00,$0.00,"Bike taken form rack by Abel Hall, $360 loss.",,
10004713,OUTSIDE - O.P.S. OTHER,11/29/2010 15:13,Inactive,11/26/2010 15:13,11/26/2010 15:13,Memorial Stadium,740 Stadium Dr. (SIDEWALK),$0.00,$0.00,Officers responded to a disturbance outside gate 20 at the stadium during the Nebraska v. Colorado game.,,
10004752,ACCIDENTS - P.D. H&R REPORTABLE,11/29/2010 15:48,Cleared by Arrest,11/28/2010 18:30,11/29/2010 15:48,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,"$2,700.00","Hit and Run accident occuring in the 17th, and R Street parking garage, $2700 damage.",,
10004753,ALCOHOL - DRUNK,11/29/2010 15:56,Cleared by Exception,11/29/2010 15:56,,Love Library North,1300 R (LIBRARY),$0.00,$0.00,"Intoxicated person in Love Library computer lab, person taken to detox and turned over to staff with a BAC of .200.",,
10004755,BURGLARY,11/29/2010 19:59,Inactive,11/13/2010 0:00,11/26/2010 23:59,Theta Xi,1535 R St (OFF CAMPUS/GREEK HOUSING),"$2,300.00",$0.00,"Money taken from a room in the Theta Xi fraternity house, $2300 loss.",,
10004761,LARCENY - FROM BUILDING,11/30/2010 10:19,Inactive,10/25/2010 16:30,11/22/2010 8:00,Animal Sciences,1830 North 38th (CONSTRUCTION SITE),"$5,573.00",$0.00,Construction company removed equipment from the roof and placed it at the west dock on 10-25. Discovered stolen on 11-22.,,
10004764,MEDICAL EMERGENCY,11/30/2010 17:56,Cleared by Exception,11/30/2010 17:56,,Temple Building,1201 R St (SIDEWALK),$0.00,$0.00,"Person having a diabetic reaction at 12th, and R Street, taken to Bryan-West by LFR for further treatment.",,
10004765,DISTURBANCE - OTHER,11/30/2010 18:42,Cleared by Exception,11/30/2010 18:35,11/30/2010 18:40,,ANTELOPE VALLEY PARKWAY & MILITARY RD (STREET),$0.00,$0.00,Disturbance between a parking attendant and a person going to the Womens Basketball game.,,
10004766,LARCENY - GAS FROM SELF SERVICE PUMP,11/30/2010 19:15,Inactive,11/30/2010 19:15,,Kabredlo's,1540 P St. (GAS/SERVICE STATION),$5.15,$0.00,"Person drove off without paying for gas at Kabredlo's 1540 P Street, $5 loss.",,
10004771,NARCOTICS - POSSESSION,12/1/2010 0:33,Cleared by Arrest,12/1/2010 0:33,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,UNL student cited/released for Poss. of Marijuana < Ounce after it was found in his dorm room.,,
10004772,ALCOHOL - MINOR IN POSSESSION,12/1/2010 3:28,Cleared by Arrest,12/1/2010 3:28,,Neihardt Residence Center,540 North 16th Street (UNL RESIDENCE HALL),$0.00,$0.00,UNL student cited/taken to detox for MIP-C (.171 BAC). He was contacted after entering a dorm room that was not his.,,
10004773,NARCOTICS - POSSESSION,12/1/2010 5:49,Cleared by Arrest,12/1/2010 5:49,,Smith Hall,1120 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,UNL student cited for possession of marijuana after consenting to a search following a complaint.,,
10004779,LARCENY - STOLEN BIKE,12/1/2010 13:39,Inactive,11/22/2010 9:00,11/30/2010 13:00,Cather Hall,609 North 17th St (UNL RESIDENCE HALL),$370.00,$0.00,Bike taken from rack by Cather Hall $370 loss.,,
10004784,TRESPASSING,12/1/2010 17:57,Cleared by Exception,12/1/2010 17:57,12/1/2010 17:57,Union-City,"1400 R St. (UNL SUPPORT FACILITY (office, service))",$0.00,$0.00,Two Juvenile parties were contacted in the City Union for climbing over the stair railing and hanging on the rafters. Both given trespass policy letter and released.,,
10004792,LARCENY - OTHER OR FROM OPEN AREA,12/2/2010 7:12,Inactive,12/1/2010 15:30,12/2/2010 6:40,Animal Sciences,1830 North 38th (GOVT PARKING LOT (UNL)),"$1,110.00",$0.00,A theft of copper tubing from the construction site on east side of Animal Science.,,
10004796,ANIMAL - All CALLS OTHER THAN DOGS,12/2/2010 12:48,Cleared by Exception,12/2/2010 12:48,12/2/2010 13:44,,1900 N. 42nd St. (GOVT LOT/FIELD (UNL)),$0.00,$0.00,"A calf that was to be euthanized, escaped and was put down by UNLPD per request of staff at Vet Basic.",,
10004797,ACCIDENTS - P.D. NOT REPORTABLE,12/2/2010 16:26,Cleared by Exception,12/2/2010 16:16,,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,$0.00,Pickup struck a passenger vehicle causing dents and scratches approximately 39.5 inches long to the passenger vehicle.,,
10004803,ACCIDENTS - P.D. H&R NOT REPORTABLE,12/2/2010 22:14,Inactive,11/28/2010 20:30,12/2/2010 22:14,19th/Vine Parking Garage,1810 Vine Street (GOVT PARKING GARAGE (UNL)),$0.00,"$1,000.00","Damage to a parked vehicle on Level 2 of the parking garage.  Damage consists of scratches, scuffs and gouges to the driver's side rear passenger door, wheel well, gas cap, rear quarter panel and bumper.",,
10004804,TRAFFIC - SUSPENDED DRIVER,12/2/2010 22:54,Cleared by Arrest,12/2/2010 22:54,,,N 33RD ST & HUNTINGTON AVE (STREET),$0.00,$0.00,Traffic Stop.  Driver found to be suspended with 12 Failure to Appears.  Cited/Lodged.,,
10004809,VANDALISM - OTHER,12/3/2010 1:46,Inactive,12/3/2010 1:16,12/3/2010 1:36,Sigma Nu,625 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00,$75.00,Report of apples thrown through windows on the 2nd and 3rd floors causing 5 broken panes of glass.,,
10004811,LARCENY - FROM MOTOR VEHICLE,12/3/2010 7:06,Inactive,12/2/2010 23:00,12/3/2010 7:00,,STADIUM DR & T ST (GOVT PARKING LOT (UNL)),$0.00,$0.00,"Person entered a vehicle while it was parked in the meters north of Richards Hall, nothing was removed from the vehicle.",,
10004814,LARCENY - OTHER OR FROM OPEN AREA,12/3/2010 10:51,Cleared by Arrest,9/25/2010 16:30,9/25/2010 17:00,,1100 Military Road (OTHER LOT/FIELD),$85.00,$0.00,"Victim reported that a person was wearing his stolen jacket in a class room in Henzlick Hall. Jacket was not his but was taken from another person that they knew, person cited for stealing the jacket.",,
10004815,ALCOHOL - DRUNK,12/3/2010 11:29,Cleared by Exception,12/3/2010 11:29,,,STADIUM DR & U ST (SIDEWALK),$0.00,$0.00,Intoxicated party contacted in area of Stadium Drive and T Street. Person taken to detox where they tested a .214 and turned over to staff.,,
10004816,LARCENY - FROM MOTOR VEHICLE,12/3/2010 11:33,Inactive,12/2/2010 20:30,12/3/2010 11:15,,1220 N. 14th Street (GOVT PARKING LOT (UNL)),$174.00,$200.00,"Theft from auto in the Harper Hall parking lot, $174 loss, and $200 damage to vehicle.",,
10004818,AUTO THEFT,12/3/2010 12:15,Inactive,12/2/2010 21:00,12/3/2010 10:00,2244 Vine Street,2244 Vine Street (GOVT PARKING LOT (UNL)),"$2,800.00",$0.00,"Vehicle stolen from the parking lot of 2244 Vine Street, $2800 loss.",,
10004821,LARCENY - FROM MOTOR VEHICLE,12/3/2010 14:41,Inactive,12/2/2010 16:00,12/3/2010 14:30,515 N 19th Parking Lot Vine to,515 North 19th St. (GOVT PARKING LOT (UNL)),$0.00,$0.00,"Vehicle broken into while parked in the big lot 515 N 19th, nothing taken from the vehicle.",,
10004822,FRAUD - CREDIT CARDS/ATM/BANK CARD,12/3/2010 14:44,Inactive,,,,City of Lincoln (GAS/SERVICE STATION),$0.00,$0.00,"A stolen debit card was used to obtain items in the City of Lincoln, unknow loss at this time.",,
10004823,LARCENY - FROM MOTOR VEHICLE,12/3/2010 15:15,Inactive,12/3/2010 0:01,12/3/2010 7:00,Avery Hall,1144 T St (GOVT PARKING LOT (UNL)),$0.00,$0.00,Vehicle parked in the T Street meters by Avery Hall entered but nothing taken.,,
10004826,LARCENY - STOLEN BIKE,12/3/2010 20:50,Cleared by Exception,12/2/2010 9:30,12/3/2010 20:30,Othmer Hall,820 North 16th St (SIDEWALK),$450.00,$0.00,A UNL student reported the theft of his 2006 Trek Mtn bike from Othmer Hall.,,
10004827,MEDICAL EMERGENCY,12/3/2010 21:30,Cleared by Exception,12/3/2010 21:30,,Phi Delta Theta,1545 R St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,A non-student was transported to Bryan East for chest pains and difficulty breathing.,,
10004828,VANDALISM - OTHER,12/3/2010 22:05,Inactive,,,"Utility Plant, City",905 North 14th St (OFFICE BLDG (Other than UNL)),$0.00,$100.00,Report a plastic fence that was kicked in and damaged at the City Power Plant.,,
10004805,LARCENY - FROM MOTOR VEHICLE,12/3/2010 23:45,Inactive,12/2/2010 23:26,,The Courtyards,733 North  17th  St. (STREET),$350.00,$0.00,IPOD taken from an unlocked and running vehicle parked in a metered stall while victim was delivering food inside The Courtyards.,,
10004833,LARCENY - FROM MOTOR VEHICLE,12/4/2010 0:54,Inactive,,,Innovation Campus,1800 State Fair Park Drive (GOVT PARKING LOT (UNL)),$0.00,$100.00,A possible theft of a stereo from a vehicle at Innovation Campus.,,
10004835,ALCOHOL - DWI,12/4/2010 1:42,Cleared by Arrest,12/4/2010 1:42,,,N 10TH ST & T ST (STREET),$0.00,$0.00,"Person arrested for DWI at 10th and T Street, person was speeding 44 mph in a 30 mph zone, taken to Detox and tested a > 162 BAC. Cited for speeding,  no clear or visible license plate and DWI.",,
10004837,TRAFFIC - SUSPENDED DRIVER,12/4/2010 2:04,Cleared by Arrest,12/4/2010 2:04,,,N 16TH ST & K ST (STREET),$0.00,$0.00,A non-student was cited/released for DUS. A passenger cited/released for Open Container.,,
10004836,ALCOHOL - MINOR IN POSSESSION,12/4/2010 2:18,Cleared by Arrest,12/4/2010 2:18,,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$0.00,"Three UNL students were cited and released for MIPC. BAC 0.241, 0.029, 0.147.",,
10004839,ALCOHOL - MINOR IN POSSESSION,12/4/2010 4:27,Cleared by Arrest,12/4/2010 4:27,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00,$0.00,A UNL student was cited and released for MIPC. BAC 0.155,,
10004844,ACCIDENTS - P.D. H&R NOT REPORTABLE,12/4/2010 12:57,Inactive,12/2/2010 0:30,12/4/2010 12:30,Chi Omega,480 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00,$600.00,Hit and run accident to a vehicle which occurred in the parking lot of the sorority.,,
10004845,LARCENY - OTHER OR FROM OPEN AREA,12/4/2010 15:26,Unfounded,12/4/2010 14:30,12/4/2010 15:10,Love Library North,1300 R (LIBRARY),$0.00,$0.00,A non-student reported he misplaced his vest at Love Library.,,
10004850,NARCOTICS - POSSESSION,12/4/2010 19:56,Cleared by Arrest,12/4/2010 19:56,,,N 16TH ST & X ST (STREET),$0.00,$0.00,A non-student was cited/released for Possession of Marijuana less than an ounce and Possession of Paraphernalia.,,
10004829,TRAFFIC - OTHER,12/4/2010 22:15,Cleared by Arrest,12/3/2010 22:15,,,N 16TH ST & Q ST (STREET),$0.00,$0.00,A non-student was cited and released for Fictious Plates and No Registration.,,
10004832,ALCOHOL - MINOR IN POSSESSION,12/4/2010 23:41,Cleared by Arrest,12/4/2010 23:41,,,STADIUM DR & Salt Creek RDWY (STREET),$0.00,$0.00,"Vehicle stopped for speeding at 10th and T Street, three persons cited for MIP, Open Container Speeding and No License on Person.",,
10004852,ALCOHOL - DWI,12/5/2010 0:55,Cleared by Arrest,12/5/2010 0:55,,,N 17TH ST & R ST (STREET),$0.00,$0.00,"Person stopped on N 17th Street between R and Vine St., vehicle was weaving in it lane, person cited for DWI Negligent driving, Refusal to submit to PBT and refusal to submit to a Chemical test, left in care of Detox.",,
10004853,ALCOHOL - DWI,12/5/2010 2:00,Cleared by Arrest,12/5/2010 2:00,,,Q ST & N 16TH ST (STREET),$0.00,$0.00,UNK student contacted for driving without lights at night. Driver taken to detox/cited for DWI (.233 BAC).,,
10004856,VANDALISM - OTHER,12/5/2010 19:01,Cleared by Arrest,12/4/2010 12:00,12/5/2010 6:00,The Village,1055 North 16 St. (UNL RESIDENCE HALL),$0.00,$450.00,Unknown person(s) entered an unsecured room and damaged a television along with other items.,,
10004867,FIRE - FALSE ALARM,12/5/2010 20:12,Inactive,12/5/2010 20:12,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,Pull station activated on the third floor. No fire.,,
10004874,ACCIDENTS - P.D. H&R NOT REPORTABLE,12/6/2010 8:07,Inactive,,,, (UNKNOWN),$0.00,$200.00,State vehicle sustained damage to the left rear quarter panel at an unknown location.,,
10004879,FIRE (WORKING) - ALARM,12/6/2010 16:41,Cleared by Exception,12/6/2010 16:41,,Beta Theta Pi,1515 R St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,"Fire alarm went off in Beta Theta Pi, cause by a smoke coming from an over, no fire LFR on scene.",,
10004880,MEDICAL EMERGENCY,12/6/2010 18:05,Cleared by Exception,12/6/2010 18:05,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,"Person suffering seizures in Abel Hall dinning area, LFR arrived and treated, then transported person to Saint Elizabeth.",,
10004881,ACCIDENTS - P.D. H&R NOT REPORTABLE,12/6/2010 18:42,Cleared by Exception,12/4/2010 3:28,,17 & R Parking Garage,300 North 17th St (GOVT PARKING GARAGE (UNL)),$0.00,$0.00,Report of belated hit and run accident in the 17th and R Street parking garage.,,
10004882,ALCOHOL - MINOR IN POSSESSION,12/6/2010 20:14,Cleared by Arrest,12/6/2010 20:14,,Phi Gamma Delta,1425 R St. (OFF CAMPUS/GREEK HOUSING),$0.00,$0.00,"Person discharged a fire extinguisher in 1425 R Street causing the fire alarm to go off. The person that discharged the extinguisher had be drinking and tested a .142 BAC, cited for MPI_C.",,
10004885,SUSPICIOUS PERSON,12/6/2010 20:43,Cleared by Arrest,12/6/2010 20:43,12/6/2010 20:43,Manter Hall Life Siences,1101 T St (GOVT PARKING LOT (UNL)),$0.00,$0.00,"Report of suspicious person, contacted between Lied Center and Westbrook. Person was intoxicated and taken to detox with a .240 BAC. Person was on ban and bar list and given a            trespass ticket.",,
10004886,MEDICAL EMERGENCY,12/7/2010 0:13,Cleared by Exception,12/7/2010 0:13,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00,$0.00,UNL student had a seizure and was transported to Bryan/LGH West.,,
